track_uri|track_name
spotify:track:4bKlOuzNlpMnlnUhCvnuY8|Lost Souls
spotify:track:6p2liQLGoDaLXgND68bfVt|Coming Undone
spotify:track:0MsrWnxQZxPAcov7c74sSo|Holiday / Boulevard of Broken Dreams
spotify:track:18wCJcoFmXZ0jfrFhF6cYS|Mount Everest
spotify:track:1jyddn36UN4tVsJGtaJfem|You Are the Best Thing
spotify:track:37Q5anxoGWYdRsyeXkkNoI|Heaven Is a Place on Earth
spotify:track:0ZUo4YjG4saFnEJhdWp9Bt|Before He Cheats
spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y|How Do You Sleep?
spotify:track:6uAm7pG66O1XesXS9bpHSF|Good As Hell
spotify:track:4ZLzoOkj0MPWrTLvooIuaa|Get You The Moon (feat. Snøw)
spotify:track:3doHXO2n8mAW8XkIFeapTZ|Falling (Summer Walker Remix)
spotify:track:39tLc4Xp58Lu4KcWHggeE2|Closer
spotify:track:4pFnV6aV1bnEDqPDGBlrNp|Hurt
spotify:track:29BxlGM9JipwPQyF2UaqTZ|Don't Wanna Dance - Extended Mix
spotify:track:79M3Eq1q61lkeQJ1OCVEdZ|The Devil's Bleeding Crown
spotify:track:2jOdqw7a9uV1s256FXXR4W|The Chemicals Between Us
spotify:track:11pmMvrEyrKcB9fcgj7C7z|Pump It Up - Jax Jones Midnight Snacks Remix
spotify:track:2Pn5gvVioma5LHPxgEBBmD|"No More ""I Love You's"""
spotify:track:0IaMMHVbpJ0LrRAeigWOXr|Again
spotify:track:5NaOWLOmVjcA3M5spRATN9|Honey
spotify:track:5GorFaKkP2mLREQvhSblIg|All My Life
spotify:track:0gLQ6jhJsyYfl7PrD1RZ7X|Vision of Love
spotify:track:2fXNIyzcOjc5Otknzsfi2O|I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992
spotify:track:5jOvmh1DYmaiBPETL6HCRY|Waiting for Tonight
spotify:track:71EHOyEOhNx1SzTebRRyng|Weak
spotify:track:1GrikfH0jDejDvrxo84n4P|Together Again
spotify:track:27QvYgBk0CHOVHthWnkuWt|Vogue
spotify:track:2aBxt229cbLDOvtL7Xbb9x|Always Be My Baby
spotify:track:6xkryXuiZU360Lngd4sx13|Fantasy
spotify:track:6s6nuBUe2alx3Rfk9JLPij|While My Guitar Gently Weeps (feat. India.Arie & Yo-Yo Ma)
spotify:track:7cDxjUnMitNKQC5c8RQUko|Black Magic Woman / Gypsy Queen
spotify:track:5tmrnhMxx39jnu3kjopMdP|Evil Ways
spotify:track:4YMQXzscifAREG0a7KNGhB|Black Magic Woman - Single Version
spotify:track:5u6y4u5EgDv0peILf60H5t|Oye Como Va
spotify:track:3d9DChrdc6BOeFsbrZ3Is0|Under the Bridge
spotify:track:6SluaPiV04KOaRTOIScoff|Show Me Love - Radio Version
spotify:track:3R97rNX7JnmshCWBwOSFet|My Lovin' (You're Never Gonna Get It)
spotify:track:1kPBHRXyXdrtYfUfeRwBko|I Wanna Sex You Up - Single Mix
spotify:track:0Q0IVlqMV64kNLlwjPj0Hl|Killing Me Softly With His Song
spotify:track:2lE7oRoKssULAtbWViL385|Hand in My Pocket - 2015 Remaster
spotify:track:0uEp9E98JB5awlA084uaIg|Doo Wop (That Thing)
spotify:track:3x4yV0hW5Ve3TKhFkXSqFn|If You Had My Love
spotify:track:4INDiWSKvqSKDEu7mh8HFz|Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster
spotify:track:0n2SEXB2qoRQg171q7XqeW|Smooth (feat. Rob Thomas)
spotify:track:0hrBpAOgrt8RXigk83LLNE|The Sign
spotify:track:7aQjPecQdIuNd1sz3KCDhD|Lovefool
spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ|No Diggity
spotify:track:1JZZkORheU1RpGqJdZ77WL|"It Must Have Been Love - From the Film ""Pretty Woman"""
spotify:track:4sUoWHVnJl8z3t4zdqf6xB|I'm Like A Bird
spotify:track:5uw9UIOXj6R8pOwXte8F5h|Little Lies
spotify:track:48O0GrGJWml3DzHhC5sJ7a|Karma Chameleon
spotify:track:0sKlV58cODrjxGFOyf9IXY|The Way You Make Me Feel - 2012 Remaster
spotify:track:4CcSw8wQAHYf4XNckayPoc|Walking on Broken Glass
spotify:track:2lnzGkdtDj5mtlcOW2yRtG|Whenever, Wherever
spotify:track:6vQN2a9QSgWcm74KEZYfDL|Take A Chance On Me
spotify:track:5XsMz0YfEaHZE0MTb1aujs|Wake Me Up Before You Go-Go
spotify:track:6mYrhCAGWzTdF8QnKuchXM|If I Could Turn Back Time
spotify:track:6qYGUxPjQt5PJtWdiNppZx|So What
spotify:track:4nVBt6MZDDP6tRVdQTgxJg|Story of My Life
spotify:track:2goLsvvODILDzeeiT4dAoR|Believe
spotify:track:6LtPIXlIzPOTF8vTecYjRe|Bleeding Love
spotify:track:1z3ugFmUKoCzGsI6jdY4Ci|Like a Prayer
spotify:track:1dzQoRqT5ucxXVaAhTcT0J|Just Dance
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V|Hips Don't Lie (feat. Wyclef Jean)
spotify:track:14iN3o8ptQ8cFVZTEmyQRV|I Kissed A Girl
spotify:track:49FYlytm3dAAraYgpoJZux|Umbrella
spotify:track:5nPdMALTEd7HOjn16oNf2X|Don't Go Breaking My Heart
spotify:track:6D60klaHqbCl9ySc8VcRss|Stronger (What Doesn't Kill You)
spotify:track:086Gay8xxH36AfPQQii2er|Big Girls Don't Cry (Personal)
spotify:track:12lZTPlXwUtrQuhEty6098|Raise Your Glass
spotify:track:2meEiZKWkiN28gITzFwQo5|Into You
spotify:track:5R9a4t5t5O0IsznsrKPVro|Single Ladies (Put a Ring on It)
spotify:track:0ByMNEPAPpOR5H69DVrTNy|Don't Stop The Music
spotify:track:6Bo7elbKiRfaHBMJGEBHqF|Since U Been Gone
spotify:track:5p7ujcrUXASCNwRaWNHR1C|Without Me
spotify:track:7sGTH1fber0bhncNMfNxmt|All My Friends
spotify:track:5VFyzbdWNTZJ1IElXAA1Du|Hounds Of Hell - Original Mix
spotify:track:1of7gFrdTOOwF7Od9cPgiL|Miami Sundown
spotify:track:2nIDPOUOprhe14XoCK6gxw|Million Voices
spotify:track:5K4LPGFKqKO7YSbUdSQAZH|Growing Pains - Toby Green Remix
spotify:track:6gXTlkZQjtNo5j3Kp86H4G|I Would Like - R3hab Remix
spotify:track:0MES9KxrW8EOE7xE8QoZUz|Everything
spotify:track:1gihuPhrLraKYrJMAEONyc|Feel So Close - Radio Edit
spotify:track:0qaWEvPkts34WF68r8Dzx9|Turn Me On (feat. Vula)
spotify:track:6JOlNkT0QdHeZB0wPbI9IR|Turn Me On (feat. Nicki Minaj)
spotify:track:22S5BO6h7JIOjg2Uw88l8e|How to Love (feat. Sofia Reyes) - Boombox Cartel Remix
spotify:track:6gZVQvQZOFpzIy3HblJ20F|Man in the Box
spotify:track:3pxCXv0NACYfYnLjFcQW5D|Addicted
spotify:track:1WtTLtofvcjQM3sXSMkDdX|How Low
spotify:track:40rvBMQizxkIqnjPdEWY1v|Down with the Sickness
spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki|Dancing With A Stranger (with Normani)
spotify:track:3FnrpYP8QSbYXbp8i8UQKO|CHAMPION
spotify:track:5CaLWvy4YzGt2ql0RyiS9R|Like The Way I Do
spotify:track:1SY2vughwKmVPm1Lmf5Nl7|Seether
spotify:track:6hvwc95jXLw5z2kT73y6I5|#1 Crush
spotify:track:1LzNfuep1bnAUR9skqdHCK|Fade Into You
spotify:track:7lNQ4YZEAZc1nvfSNPzSvU|River
spotify:track:0ofHAoxe9vBkTCp2UQIavz|Dreams - 2004 Remaster
spotify:track:6PNvv1dmDbOWrAYwEcuKBX|Criminal
spotify:track:3sesq9P6ndjuqaq5om7sxT|I Put A Spell On You
spotify:track:0u4htORODiTK9vHVA89MQX|Lovefool
spotify:track:70eDxAyAraNTiD6lx2ZEnH|Ex's & Oh's
spotify:track:0jWgAnTrNZmOGmqgvHhZEm|What's Up?
spotify:track:1m9saE7zpF33TxI19j57UN|Edge of Seventeen
spotify:track:48mJX8glOrQkrSdVBjc0Wb|Down By The Water
spotify:track:0l9l90a1zB3wUObtwWbqHy|Glycerine
spotify:track:2nLtzopw4rPReszdYBJU6h|Numb
spotify:track:3ZFwuJwUpIl0GeXsvF1ELf|Nothing Else Matters
spotify:track:3m6KkYKdnbffMpGd9Pm9FP|Seven Nation Army
spotify:track:5lWRaa0fBxDE5yU91npPq7|Just A Girl
spotify:track:0COqiPhxzoWICwFCS4eZcp|Bring Me To Life
spotify:track:1IsGA5ceSC4a5nxgAEYnQd|Only Happy When It Rains
spotify:track:0Xq7FPQaLJgIHSB605YUMy|Sweet Dreams (Are Made Of This)
spotify:track:1AfYo6cKm3yHsJHdmNoGO1|Interstate Love Song
spotify:track:5V3mdRI2yQxbSsJGDPc5lD|Chop Suey!
spotify:track:3jS7bB0oXVOwGFZn3aE5NV|You Oughta Know - 2015 Remaster
spotify:track:23MrkN7g6Q5U7GLIxNHN1B|Foxey Lady
spotify:track:6mv76kovZyVB0UHbqUsee0|Proud Mary
spotify:track:3bWGaqVeYKMlLss40mPgNn|Hello, I Love You
spotify:track:6ToM0uwxtPKo9CMpbPGYvM|Break on Through (To the Other Side)
spotify:track:6NxsCnLeLd8Ai1TrgGxzIx|Bad Moon Rising
spotify:track:5zH710lFSLtkHbMkslLDjR|Crazy On You
spotify:track:2LawezPeJhN4AWuSB0GtAU|Have You Ever Seen The Rain
spotify:track:5uvosCdMlFdTXhoazkTI5R|Light My Fire
spotify:track:2X6gdRlGOQgfaXU9ALUQFQ|The Chain
spotify:track:5MxNLUsfh7uzROypsoO5qe|Dream On
spotify:track:3PGAgwFWnFCisvjb3rLyuh|Piece Of My Heart
spotify:track:5BIMPccDwShpXq784RJlJp|Enter Sandman
spotify:track:3HfB5hBU0dmBt8T0iCmH42|Creep
spotify:track:3YRCqOhFifThpSRFJ1VWFM|November Rain
spotify:track:0F0MA0ns8oXwGw66B2BSXm|Let's Dance - 1999 Remaster
spotify:track:3YBZIN3rekqsKxbJc9FZko|Paradise City
spotify:track:6mfkHv00I6jhHIn7EWHJ2N|Just A Girl
spotify:track:61lqNlVRnWYiR9C7BDJw2l|You Give Love A Bad Name
spotify:track:7w87IxuO7BDcJ3YUqCyMTT|Pumped Up Kicks
spotify:track:2SpEHTbUuebeLkgs9QB7Ue|Jolene
spotify:track:4w3tQBXhn5345eUXDGBWZG|9 to 5
spotify:track:6gJdDnF2TzfA1WPMXuCa3x|Proud Mary
spotify:track:7ACwi8jq7LFX6ctC1R6fn1|This Is Me
spotify:track:0jdny0dhgjUwoIp5GkqEaA|Praying
spotify:track:3zUr0rwzTgo83IGZqhvoNE|Escape Me - Alex Gaudino & Jason Rooney Remix
spotify:track:1G391cbiT3v3Cywg8T7DM1|Scar Tissue
spotify:track:15ya59dZ8yGeIfZARiYDjd|Dog Days Are Over
spotify:track:0fPf9CDFzVnHpcfld5XVtO|You've Got The Love
spotify:track:4RvWPyQ5RL0ao9LPZeSouE|Everybody Wants To Rule The World
spotify:track:5NIPsWpDjJTFBoPxCUUeXp|Welcome To The Jungle
spotify:track:4aWn4NHlELpOehxsBaQeoe|Don't You (Forget About Me)
spotify:track:2sXp9Qmvc7mRaDBjBgcGGi|Every Breath You Take - Remastered 2003
spotify:track:5eU8qMd0TpaLqTGDZJaLDs|Need You Tonight
spotify:track:4ha9ajL4Kz98uldAfuos6p|With Or Without You - Remastered
spotify:track:4MhTFsyqIJnjsOweVcU8ug|Sweet Child O' Mine
spotify:track:2WfaOiMkCvy7F5fcp2zZ8L|Take on Me
spotify:track:51H2y6YrNNXcy3dfc3qSbA|When Doves Cry
spotify:track:57JVGBtBLCfHw2muk5416J|Another One Bites The Dust - Remastered 2011
spotify:track:0HEmnAUT8PHznIAAmVXqFJ|Faith - Remastered
spotify:track:0PdM2a6oIjqepoEfcJo0RO|Pour Some Sugar On Me - Remastered 2017
spotify:track:7qQnBfwXrw2tZNFG4Uf57N|Livin' On A Prayer
spotify:track:6QyQmdvQ1ywNccYa0pwLNQ|The Tracks Of My Tears
spotify:track:4kP69y3GKHi9tXckfgp4bK|For Once In My Life
spotify:track:74EV0g12ihUoOUXMprFpZB|Losing My Religion
spotify:track:64BbK9SFKH2jk86U3dGj2P|Otherside
spotify:track:3Y8Ff1nH44jFywAtpgmleZ|1979 - Remastered 2012
spotify:track:5Xak5fmy089t0FYmh3VJiY|Black
spotify:track:1twBt7aZiy7HWPG025QGuP|Aerials
spotify:track:3jJZVeExYzVYiV6Y9Fl3DX|Plush
spotify:track:794pcMq18sBEsmwjRq0aOI|The World I Know
spotify:track:6QewNVIDKdSl8Y3ycuHIei|Even Flow
spotify:track:2EoOZnxNgtmZaD8uUmz2nD|Black Hole Sun
spotify:track:5sFDReWLrZHLFZFjHsjUTS|Would?
spotify:track:50uGbeaQIxKiSc7jvRTjWx|(Sittin' On) the Dock of the Bay
spotify:track:0ACACkoHUwgfgY5CxVIL4N|Lovely Day
spotify:track:63xdwScd1Ai1GigAwQxE8y|Let's Stay Together
spotify:track:4qv7YSyt5UV8LvrXyE8sGn|Can You Feel It - Single Version
spotify:track:05wIrZSwuaVWhcv5FfqeH0|Walking On Sunshine
spotify:track:03UeeLEwze6VrBZhMPEymG|Don't Leave Me This Way - Single Version
spotify:track:2AKOOhml62GZNFWDN7VqzT|Killer Queen - 2011 Mix
spotify:track:7iN1s7xHE4ifF5povM6A48|Let It Be - Remastered 2009
spotify:track:1KbuhBnzMHp4eq1q6flhWd|Ain't No Mountain High Enough
spotify:track:2JoZzpdeP2G6Csfdq5aLXP|How Deep Is Your Love
spotify:track:2kyVQg00pphEufGT59M2XH|(They Long To Be) Close To You
spotify:track:3c4OULLWwgRqBfA2dJtRuY|Love Is In The Air
spotify:track:1lCRw5FEZ1gPDNPzy1K4zW|We Are The Champions - Remastered 2011
spotify:track:7u2FvRYl39hmNHklBlsjkm|My Heart Belongs to Me
spotify:track:7oOOI85fVQvVnK5ynNMdW7|Rock with You - Single Version
spotify:track:7tFiyTwD0nx5a1eklYtX2J|Bohemian Rhapsody - 2011 Mix
spotify:track:29L9RTMgpqS98Lu0VUUhhr|Got To Give It Up - Album Edit
spotify:track:4rDbp1vnvEhieiccprPMdI|Somebody To Love - 2011 Mix
spotify:track:1f4iVGDitHYMVBaoc9GXO2|Love Will Keep Us Together
spotify:track:23DZLSxCK6kM8FF2RlzKDl|You're No Good
